"date","cons","invest","GDP","Empl","dPGDP","RW","R"
"1976Q4",1302.86964572534,1203.26544419457,1352.70766275905,1158.04481228893,2.34298341483652,135.509466039628,2.350548
"1977Q1",1303.22364558855,1204.28140287503,1353.02857168804,1158.24656133405,2.57125782731833,135.482362693385,2.5081425
"1977Q2",1304.32456639322,1202.5632601029,1353.29216659086,1158.43176956913,2.71730594833395,135.978480964566,2.313172
"1977Q3",1305.20223520551,1203.07395153206,1353.56481938322,1158.1166186997,2.29991639806359,136.951541259168,2.20943425
"1977Q4",1306.19034650242,1203.71176720287,1354.61539210333,1158.05854218544,2.21036162760142,137.693419850692,2.24992975
"1978Q1",1306.26443986506,1204.17267552243,1355.09261547402,1158.3825396861,2.33756615753276,137.731432167568,2.02285125
"1978Q2",1307.25006371203,1205.03718826948,1356.2756463825,1158.41340665798,2.40125006049796,138.164965828033,1.956653
"1978Q3",1308.0470446983,1205.44001492834,1356.72987925873,1158.53628639218,2.50563785396947,138.803905559181,2.20606225
"1978Q4",1309.25115427334,1206.25932436533,1358.01962144144,1158.63181099099,1.74157044336272,139.857130222459,2.24045125
"1979Q1",1309.86360147277,1204.61432229352,1358.37659090952,1159.07318894099,2.32593772322249,139.785310054055,1.96931325
"1979Q2",1311.56486664759,1208.53860498013,1359.98629450776,1159.26648651122,2.08452403297614,140.610145557913,2.241065
"1979Q3",1311.49668128264,1208.96174978583,1360.66654778488,1159.5759227869,2.83196810213926,141.541281873322,2.58030275
"1979Q4",1312.77718321452,1211.63757047865,1361.82535343519,1159.79624190692,2.5950622095698,142.28024737231,2.9916395
"1980Q1",1313.57244394652,1213.66088286073,1362.76901984998,1160.08098690941,2.83157420643469,142.58004772327,3.15240425
"1980Q2",1312.74503956783,1211.8278235335,1362.13120534831,1160.19373063627,2.63172928608146,142.902868603442,3.27085149999991
"1980Q3",1313.62489666892,1211.60056046126,1362.14455116878,1160.2318536805,2.49429446145282,143.251488966682,3.03816149999999
"1980Q4",1313.93379587011,1210.76476503941,1361.93102783663,1160.05325061834,2.11914343592332,144.042855697113,3.13940049999996
"1981Q1",1313.44599167028,1209.5240329066,1361.90909072628,1160.07428254013,2.42829716060491,143.363573505457,3.31974200000011
"1981Q2",1313.3177239837,1209.12787858499,1362.5742750525,1159.80818141258,2.36761353901127,144.627703364148,3.8114177500003
"1981Q3",1313.96259436675,1208.04421289046,1362.99694518752,1159.64295904038,2.72605697262946,145.303799653925,3.94597125000005
"1981Q4",1314.21474695185,1205.40816940641,1363.034901965,1159.64068689296,2.92807286360619,145.12285941573,3.77362524999996
"1982Q1",1314.49351042912,1205.57391577039,1363.22639963146,1159.3195008453,2.67144447002847,144.648443608374,3.51147775000017
"1982Q2",1314.19347984354,1205.32004701528,1363.52146759442,1159.49742821368,2.08830725480023,144.66363629148,3.52403400000007
"1982Q3",1314.25050924705,1204.40069904133,1363.20789763739,1159.24243016958,1.9816691787133,145.257648046731,3.27457999999999
"1982Q4",1314.82738452647,1203.77681064221,1363.14533967345,1159.15328353475,1.92117253903528,144.973542801565,3.08373375000006
"1983Q1",1315.27170026234,1204.19013611183,1363.69751668006,1158.71813690386,2.49346509310318,144.771521260239,2.90967100000003
"1983Q2",1315.25272319508,1204.13873310018,1364.52931059626,1158.81071462063,1.71809889307357,145.090681995251,2.85946000000011
"1983Q3",1315.2855341564,1204.46030556455,1364.77565136001,1158.78794006245,2.02385376896304,145.546638626224,2.93602700000009
"1983Q4",1315.94289862867,1204.07492597446,1365.54821910369,1158.93449706136,1.94920960833676,144.862662566972,2.9540957500001
"1984Q1",1316.71947930224,1204.28598161661,1366.73992827894,1158.49704606505,1.86010313603942,145.73314289172,2.81192450000006
"1984Q2",1316.53389401795,1202.28306430898,1366.05871772385,1158.39517077559,1.3214664889653,144.366652186807,2.69687775000016
